Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Tyrese Haliburton,24,PG,73,33.6,18.6,3.5,9.2,1.4,0.7,0.473,0.388,42176400
Evan Mobley,23,PF,71,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37,11227657
Shaedon Sharpe,21,SG,72,31.3,18.5,4.5,2.8,0.9,0.2,0.452,0.311,6614160
Nikola Vucevic,34,C,73,31.2,18.5,10.1,3.5,0.8,0.7,0.53,0.402,20000000
Collin Sexton,26,SG,63,27.9,18.4,2.7,4.2,0.7,0.1,0.48,0.406,18350000
Michael Porter Jr.,26,SF,77,33.7,18.2,7.0,2.1,0.6,0.5,0.504,0.395,35859950
Bam Adebayo,27,C,78,34.3,18.1,9.6,4.3,1.3,0.7,0.485,0.357,34848340
Andrew Wiggins,29,SF,60,30.7,18.0,4.5,2.6,1.0,0.8,0.448,0.374,26276786
OG Anunoby,27,PF,74,36.6,18.0,4.8,2.2,1.5,0.9,0.476,0.372,36637932
Mikal Bridges,28,SF,82,37.0,17.6,3.2,3.7,0.9,0.5,0.5,0.354,23300000
Jaden Ivey,22,SG,30,29.9,17.6,4.1,4.0,0.9,0.4,0.46,0.409,7977240
Jimmy Butler,35,SF,55,31.7,17.5,5.4,5.4,1.4,0.3,0.504,0.308,48798677
Dejounte Murray,28,PG,31,32.6,17.5,6.5,7.4,2.0,0.4,0.393,0.299,29517135
Malik Monk,26,SG,65,31.6,17.2,3.8,5.6,0.9,0.6,0.439,0.325,17405203
Immanuel Quickley,25,PG,33,27.8,17.1,3.5,5.8,0.7,0.1,0.42,0.378,32500000
De'Andre Hunter,27,SF,64,27.2,17.0,4.0,1.4,0.8,0.2,0.47,0.405,21696429
Bradley Beal,31,SG,53,32.1,17.0,3.3,3.7,1.1,0.5,0.497,0.386,50203930
Deni Avdija,24,SF,72,30.0,16.9,7.3,3.9,1.0,0.5,0.476,0.365,15625000
Keyonte George,21,PG,67,31.5,16.8,3.8,5.6,0.7,0.1,0.391,0.343,4084200
Ivica Zubac,27,C,80,32.8,16.8,12.6,2.7,0.7,1.1,0.628,,11743210
Derrick White,30,SG,76,33.9,16.4,4.5,4.8,0.9,1.1,0.442,0.384,20071429
Malik Beasley,28,SG,82,27.8,16.3,2.6,1.7,0.9,0.1,0.43,0.416,6000000
